AAL
ABF
ADM
AHT
ANTO
AUTO
AV
AVST
AVV
AZN
BA
BARC
BATS
BDEV
BHP
BKG
BLND
BME
BNZL
BP
BRBY
BT-A
CCH
CPG
CRDA
CRH
DCC
DGE
ENT
EVR
EXPN
FERG
FLTR
FRES
GLEN
GSK
HIK
HL
HLMA
HSBA
IAG
ICP
IHG
III
IMB
INF
ITRK
JD
JET
JMAT
KGF
LAND
LGEN
LLOY
LSEG
MNDI
MNG
MRO
MRW
NG
NWG
NXT
OCDO
PHNX
PNN
POLY
PRU
PSH
PSN
PSON
RB
RDSA
REL
RIO
RMV
RR
RSA
RTO
SBRY
SDR
SGE
SGRO
SKG
SLA
SMDS
SMIN
SMT
SN
SPX
SSE
STAN
STJ
SVT
TSCO
TW
ULVR
UU
VOD
WPP
WTB
